Namespace(train_lr='..\\RealworldData\\Data\\DIAlign\\iPhone11_wideSRTele\\lift\\out_30_warp.png', train_hr='..\\RealworldData\\Data\\DIAlign\\iPhone11_wideSRTele\\lift\\HR.png', Invari_map='..\\RealworldData\\Data\\DIAlign\\iPhone11_wideSRTele\\lift\\PatchDisOut.npy', test_lr='..\\RealworldData\\Data\\WideView\\lift.jpg', test_hr='..\\RealworldData\\Data\\TeleView\\lift.jpg', workers=8, vgg_weight=0.05, vgg_path='../preTrained/vgg16-397923af.pth', dataset='iPhone11_wideSRTele\\lift', output_path='..\\SR\\Results_Real_lift\\', eval_interval=100, epochs=301, start_epoch=0, batch_size=16, patch_size=128, scale=2, shave=4, lr=0.0002, lr_scheduler='step', milestones=[5, 500, 1000, 1500], gamma=0.5, momentum=0.9, weight_decay=0.0005, resume=None, in_ch=3, n_feats=64, n_reduction=16, n_resgroups=5, n_resblocks=3)
Starting Epoch: 0
Total Epoches: 301

 iter: 0/301, lr: 0.000200000 | PSNR:13.91 | SSIM:0.1633 | LPIPS:0.6046 | loss: 0.21782 | loss_rec:0.2178

 iter: 10/301, lr: 0.000100000 | PSNR:17.84 | SSIM:0.7477 | LPIPS:0.4585 | loss: 0.12188 | loss_rec:0.1219

 iter: 20/301, lr: 0.000100000 | PSNR:22.17 | SSIM:0.8454 | LPIPS:0.2876 | loss: 0.06939 | loss_rec:0.06939

 iter: 30/301, lr: 0.000100000 | PSNR:24.91 | SSIM:0.8786 | LPIPS:0.2139 | loss: 0.05507 | loss_rec:0.05507

 iter: 40/301, lr: 0.000100000 | PSNR:25.92 | SSIM:0.9036 | LPIPS:0.1840 | loss: 0.05200 | loss_rec:0.052

 iter: 50/301, lr: 0.000100000 | PSNR:26.05 | SSIM:0.8901 | LPIPS:0.1604 | loss: 0.05015 | loss_rec:0.05015

 iter: 60/301, lr: 0.000100000 | PSNR:26.35 | SSIM:0.9055 | LPIPS:0.1456 | loss: 0.04999 | loss_rec:0.04999

 iter: 70/301, lr: 0.000100000 | PSNR:25.9 | SSIM:0.9056 | LPIPS:0.1311 | loss: 0.05263 | loss_rec:0.05263

 iter: 80/301, lr: 0.000100000 | PSNR:25.97 | SSIM:0.8956 | LPIPS:0.1355 | loss: 0.05155 | loss_rec:0.05155

 iter: 90/301, lr: 0.000100000 | PSNR:26.31 | SSIM:0.8952 | LPIPS:0.1340 | loss: 0.04930 | loss_rec:0.0493

 iter: 100/301, lr: 0.000100000 | PSNR:27.23 | SSIM:0.9069 | LPIPS:0.1331 | loss: 0.04660 | loss_rec:0.0466

 iter: 110/301, lr: 0.000100000 | PSNR:26.51 | SSIM:0.9032 | LPIPS:0.1267 | loss: 0.04924 | loss_rec:0.04924

